source file,source file size (B),encryption algorithm,compression algorithm,order,encryption time (ms),compression time (ms),encrypted and compressed file size (B),decompression time (ms),decryption time (ms),intermediate write time(ms),intermediate read time(ms),final write time(ms),first intermediate size (after first operation) (B),initial characterization - mean,initial characterization - std,initial characterization - max,initial characterization - total keys,after encryption characterization - mean,after encryption characterization - std,after encryption characterization - max,after encryption characterization - total keys,repetition #
10_mb.pdf,11081517,AES,gzip,Encryption First,294.602632522583,310.8386993408203,11084936,14.001607894897461,277.28819847106934,4.998445510864258,9.998083114624023,5.032539367675781,11081566,1.8577381335564997,18.514128255525925,14327,745632,1.0,0.0,1,1385191,8
10_mb.pdf,11081517,AES,zip,Encryption First,276.70836448669434,308.45117568969727,11085024,17.957448959350586,258.12745094299316,3.9997100830078125,14.10531997680664,4.069805145263672,11081566,1.8577381335564997,18.514128255525925,14327,745632,1.0,0.0,1,1385191,8
10_mb.pdf,11081517,AES,lzma,Encryption First,284.17110443115234,3759.770393371582,11082144,18.987655639648438,282.38368034362793,5.001068115234375,13.009071350097656,5.000114440917969,11081566,1.8577381335564997,18.514128255525925,14327,745632,1.0,0.0,1,1385191,8
enwik8_10mb.txt,10239975,NoEnc,NoZip,Compression First,0.0,0.0,10239975,0.0,0.0,5.000591278076172,92.07868576049805,7.920742034912109,10240008,1.776506461368497,6.578013166088031,1635,720513,N/A,N/A,N/A,N/A,8
enwik8_10mb.txt,10239975,Fernet,NoZip,Compression First,73.02403450012207,0.0,13653388,0.0,75.00410079956055,5.589962005615234,14.020204544067383,3.9954185485839844,10240008,1.776506461368497,6.578013166088031,1635,720513,N/A,N/A,N/A,N/A,8
enwik8_10mb.txt,10239975,NaCl,NoZip,Compression First,27.463674545288086,0.0,10240015,1.0180473327636719,24.00040626525879,4.0035247802734375,10.993719100952148,4.00090217590332,10240008,1.776506461368497,6.578013166088031,1635,720513,N/A,N/A,N/A,N/A,8
enwik8_10mb.txt,10239975,AES,NoZip,Compression First,252.4728775024414,0.0,10239991,0.9992122650146484,256.2601566314697,3.9463043212890625,8.000373840332031,4.000663757324219,10240008,1.776506461368497,6.578013166088031,1635,720513,N/A,N/A,N/A,N/A,8
enwik8_10mb.txt,10239975,NoEnc,bzip,Compression First,1.0004043579101562,775.1541137695312,2955289,293.8199043273926,0.0,0.9989738464355469,4.97746467590332,3.997325897216797,2955322,1.776506461368497,6.578013166088031,1635,720513,N/A,N/A,N/A,N/A,8
enwik8_10mb.txt,10239975,Fernet,bzip,Compression First,18.999814987182617,803.1125068664551,3940472,341.3538932800293,17.413616180419922,1.9989013671875,5.035400390625,3.9529800415039062,2955322,1.776506461368497,6.578013166088031,1635,720513,N/A,N/A,N/A,N/A,8
enwik8_10mb.txt,10239975,NaCl,bzip,Compression First,15.021085739135742,797.2910404205322,2955329,326.2805938720703,15.895366668701172,2.9807090759277344,6.012439727783203,6.027936935424805,2955322,1.776506461368497,6.578013166088031,1635,720513,N/A,N/A,N/A,N/A,8
enwik8_10mb.txt,10239975,AES,bzip,Compression First,74.15437698364258,754.7342777252197,2955305,307.1475028991699,77.9876708984375,2.0008087158203125,6.080389022827148,4.969358444213867,2955322,1.776506461368497,6.578013166088031,1635,720513,N/A,N/A,N/A,N/A,8
enwik8_10mb.txt,10239975,NoEnc,gzip,Compression First,0.0,621.2992668151855,3743387,47.983407974243164,0.0,1.9876956939697266,9.017705917358398,3.998994827270508,3743420,1.776506461368497,6.578013166088031,1635,720513,N/A,N/A,N/A,N/A,8
enwik8_10mb.txt,10239975,Fernet,gzip,Compression First,29.00075912475586,641.7882442474365,4991268,41.94808006286621,43.71190071105957,3.0105113983154297,7.003307342529297,4.004478454589844,3743420,1.776506461368497,6.578013166088031,1635,720513,N/A,N/A,N/A,N/A,8
enwik8_10mb.txt,10239975,NaCl,gzip,Compression First,9.978771209716797,643.4187889099121,3743427,44.98481750488281,10.01286506652832,3.005504608154297,5.950212478637695,3.999948501586914,3743420,1.776506461368497,6.578013166088031,1635,720513,N/A,N/A,N/A,N/A,8
enwik8_10mb.txt,10239975,AES,gzip,Compression First,96.92621231079102,651.9303321838379,3743403,52.09159851074219,95.00527381896973,2.000093460083008,7.999420166015625,3.910541534423828,3743420,1.776506461368497,6.578013166088031,1635,720513,N/A,N/A,N/A,N/A,8
enwik8_10mb.txt,10239975,NoEnc,zip,Compression First,0.0,517.0474052429199,3752501,47.97196388244629,0.0,2.988576889038086,10.232925415039062,6.092071533203125,3752534,1.776506461368497,6.578013166088031,1635,720513,N/A,N/A,N/A,N/A,8
enwik8_10mb.txt,10239975,Fernet,zip,Compression First,30.09963035583496,487.8249168395996,5003428,44.745683670043945,31.96096420288086,1.9638538360595703,14.01376724243164,2.99835205078125,3752534,1.776506461368497,6.578013166088031,1635,720513,N/A,N/A,N/A,N/A,8
enwik8_10mb.txt,10239975,NaCl,zip,Compression First,10.004043579101562,472.7001190185547,3752541,49.05533790588379,12.98666000366211,1.9969940185546875,6.012678146362305,3.9892196655273438,3752534,1.776506461368497,6.578013166088031,1635,720513,N/A,N/A,N/A,N/A,8
enwik8_10mb.txt,10239975,AES,zip,Compression First,93.9333438873291,533.7190628051758,3752517,51.82671546936035,99.91097450256348,2.000093460083008,6.998777389526367,3.997802734375,3752534,1.776506461368497,6.578013166088031,1635,720513,N/A,N/A,N/A,N/A,8
enwik8_10mb.txt,10239975,NoEnc,lzma,Compression First,0.0,5447.926044464111,2761620,173.97689819335938,0.0,2.017974853515625,4.99725341796875,4.024028778076172,2761653,1.776506461368497,6.578013166088031,1635,720513,N/A,N/A,N/A,N/A,8
